Word,POS,Frequency,,,,,Frequency
HPV,NNP,4766,11915,38540,16286,3739,75246
cancer,NN,5994,8628,16642,12572,4258,48094
cervical,JJ,4854,6765,13318,8695,3446,37078
vaccine,NN,1737,5801,9384,7548,1509,25979
I,PRP,2807,3872,8186,59,,14924
pap,NN,1752,2412,5223,3725,1164,14276
smear,NN,2023,1844,4878,3465,1204,13414
you,PRP,1692,2962,6136,,,10790
woman,NN,1178,1941,3896,2601,919,10535
Gardasil,NNP,1031,2663,3622,2284,598,10198
get,VB,1669,2787,5362,39,,9857
girl,NN,507,1012,2556,1912,536,6523
do,VBP,815,1308,4098,,,6221
Health,NNP,599,1303,2289,1511,388,6090
test,NN,967,972,2035,1427,FALSE,5401
study,NN,314,1043,1895,1077,306,4635
boy,NN,203,1459,1885,753,209,4509
my,PRP$,1219,,3252,,,4471
she,PRP,616,1195,2454,,,4265
vaccination,NN,331,735,1407,1328,325,4126
news,NN,371,959,1524,905,202,3961
not,RB,528,1052,2165,,,3745
we,PRP,487,1021,1971,,,3479
risk,NN,305,697,1191,828,340,3361
they,PRP,495,972,1853,,,3320
year,NN,257,542,1107,1024,380,3310
man,NN,280,800,1271,728,138,3217
shot,NN,285,509,1390,842,132,3158
Bachmann,,,1553,1585,,,3138
more,JJR,441,847,1790,,,3078
new,JJ,716,736,1523,,,2975
sex,NN,249,552,1090,796,233,2920
prevent,VBP,321,538,941,834,263,2897
awareness,NN,277,480,816,834,443,2850
say,VBP,286,964,1550,,,2800
oral,JJ,176,588,896,945,112,2717
what,WP,487,681,1504,,,2672
just,RB,457,728,1457,,,2642
today,NN,294,415,1010,684,161,2564
find,VB,236,496,962,588,249,2531
infection,NN,220,280,853,1011,127,2491
doctor,NN,232,412,1047,520,260,2471
Screening,NNP,230,448,972,581,228,2459
know,VBP,407,639,1412,,,2458
all,DT,441,666,1341,,,2448
go,VB,400,644,1397,,,2441
virus,NN,388,412,861,636,103,2400
screen,NN,237,340,738,711,363,2389
young,JJ,214,434,815,649,255,2367
like,IN,418,509,1437,,,2364
make,VBP,183,452,958,623,130,2346
cervicalcancer,NN,107,138,641,740,652,2278
wart,NN,417,412,784,580,72,2265
papsmear,NN,164,188,1081,719,92,2244
he,PRP,204,820,1215,,,2239
human,JJ,411,473,811,418,111,2224
who,WP,317,573,1283,,,2173
out,RP,303,581,1259,,,2143
breast,NN,192,505,843,390,97,2027
die,VB,166,317,755,442,330,2010
now,RB,292,550,1107,,,1949
give,VBP,226,601,441,517,121,1906
genital,JJ,373,386,640,412,67,1878
prevention,NN,265,278,464,628,230,1865
help,NN,297,371,989,136,49,1842
rate,NN,96,160,507,910,167,1840
how,WRB,292,542,1003,,,1837
no,DT,261,550,1020,,,1831
Michelle,NNP,,632,657,523,,1812
age,NN,97,302,574,414,414,1801
Causes,NNP,26,451,840,461,,1778
thing,NN,91,231,1133,229,91,1775
month,NN,183,295,467,490,314,1749
link,NN,206,272,658,519,89,1744
CDC,NNP,34,468,590,479,153,1724
free,JJ,221,169,675,474,165,1704
than,IN,210,536,953,,,1699
throat,NN,91,173,438,935,59,1696
need,VBP,250,404,1037,,,1691
Perry,NNP,1685,,,,,1685
Perry,NNP,18,1663,,,,1681
people,NNS,154,278,610,500,120,1662
time,NN,196,216,697,447,101,1657
protect,VBP,169,307,560,500,110,1646
STD,NNP,173,197,558,662,52,1642
treatment,NN,252,347,631,292,85,1607
HIV,NNP,209,249,569,478,101,1606
life,NN,144,216,490,556,198,1604
teen,JJ,102,,522,801,164,1589
u,NN,290,411,863,,,1564
up,RP,235,404,890,33,,1562
