id,modularity_class
Women,33
week,33
vaccine,33
CDC,34
virus,4
prevention,4
early,33
care,34
STD,4
news,34
test,33
check,33
vaccination,33
sex,4
cervical,4
bad,4
wart,4
ask,0
tell,1
Gardasil,34
shit,2
real,3
doctor,31
HPV,4
world,34
pap,5
boy,34
genital,6
research,34
throat,4
start,7
screen,33
young,33
smear,33
story,31
time,31
awareness,33
health,34
work,34
your,8
Risk,4
information,4
breast,33
love,31
vaccinate,34
pap_smear,31
support,34
increase,4
low,4
UK,9
give,31
show,34
shot,4
year,33
girl,34
head,4
report,10
vax,11
case,12
study,34
cause,4
infection,4
HIV,4
treatment,33
common,4
day,13
death,33
mom,33
free,33
today,31
learn,33
lady,31
tomorrow,14
medical,15
due,34
find,4
die,33
yeah,16
save,33
program,34
post,17
link,4
man,4
teen,4
protect,33
woman,33
share,4
high,4
month,33
take,18
oral,4
life,33
people,31
get,31
prevent,33
rate,4
read,31
lead,34
patient,19
have,31
parent,34
stop,20
make,31
immune,4
age,33
good,21
disease,33
call,22
school,23
article,24
female,25
talk,26
back,27
important,28
sexual,34
think,31
thing,29
cancer,4
great,30
help,33
I,31
want,31
come,32
cervical_cancer,33
genital_wart,4
throat_cancer,4
HPV_vaccine,34
oral_sex,4
Michael_Douglas,4
HPV_vaccination,4
kpapsmear,35
human_papillomavirus,36
HPV_infection,34
