id,modularity_class
anal,1
have,1
shot,19
man,1
vaccine,1
rate,0
cervical_cancer,1
sexual,1
cancer,1
HPV,1
pap,1
support,1
medical,2
January,32
sex,30
virus,23
help,1
doctor,3
cause,1
safe,4
news,5
smear,1
women,1
think,6
week,1
risk,30
campaign,7
screen,1
health,1
make,8
low,1
free,1
family,9
month,32
awareness,1
study,30
check,10
HPV_vaccine,30
read,11
care,12
join,13
important,14
prevent,1
effective,15
symptom,16
Information,17
due,18
Gardasil,19
fight,1
tomorrow,20
disease,21
world,22
national,1
human,23
oral,30
today,1
mother,1
share,24
young,1
spread,25
life,30
parent,30
lady,26
give,1
pap_smear,1
teen,30
recommend,27
lead,30
time,28
HIV,29
girl,30
2014,31
Awareness_Month,32
humanpapillomavirus,33
year,30
Cervical,1
find,1
prevention,1
reduce,34
Early,35
high,0
boy,30
regular,1
head,1
test,27
good,36
diagnose,37
vaccination,38
learn,39
program,40
woman,1
research,41
age,1
sign,1
throat,1
back,42
protect,43
take,44
HPV_test,1
treatment,45
great,46
day,47
people,1
breast,1
cure,1
petition,1
genital,48
common,1
stop,49
save,50
HPV_vaccination,0
pap_smears,27
FDA,51
