source,target,weight
pap,smear,497
I,my,407
I,get,378
I,I,363
you,get,353
cervical_cancer,screening,339
women,cervical_cancer,323
my,I,276
you,you,274
you,know,273
get,HPV,273
get,pap_smear,272
I,cervical_cancer,269
my,cervical_cancer,262
get,cervical_cancer,260
I,HPV,248
more,than,243
4,cervical_cancer,241
get,my,235
you,HPV,228
she,cervical_cancer,209
HPV_vaccine,girl,205
you,pap_smear,204
I,pap_smear,202
cervical_cancer,women,197
against,cervical_cancer,196
breast,cervical_cancer,195
I,you,192
HPV_vaccine,not,188
my,pap_smear,183
doctor,DRE,181
cervical_cancer,vaccine,181
you,cervical_cancer,180
stage,cervical_cancer,178
she,pap_smear,175
doctor,pap_smear,175
genital,warts,168
cervical_cancer,you,168
more,cervical_cancer,161
girl,cervical_cancer,161
does,not,160
HPV,cervical_cancer,152
stage,4,151
cervical_cancer,I,147
HPV,I,147
vaccine,cervical_cancer,146
DRE,pap_smear,143
do,you,142
she,DRE,141
she,doctor,141
you,need,140
fight,cervical_cancer,139
my,HPV,138
I,just,134
make,girl,133
women,get,133
girl,HPV_vaccine,132
HPV,study,129
HPV,you,128
after,cervical_cancer,128
cervical_cancer,jab,127
new,cervical_cancer,125
HPV,girl,124
my,my,122
pap_smear,my,121
head,neck,121
girl,HPV,120
get,I,120
pap_smear,I,119
help,cervical_cancer,119
cervical_cancer,today,118
dumb,she,118
prevent,cervical_cancer,117
cervical_cancer,camcer,117
than,cervical_cancer,115
dumb,DRE,115
dumb,doctor,115
you,I,115
against,HPV,114
HPV_vaccine,study,113
HPV_vaccine,sexual,112
HPV,warts,111
girl,study,110
dumb,pap_smear,109
get,HPV_shot,108
HPV_vaccine,boy,107
what,you,107
just,get,107
more,women,106
get,you,104
cervical_cancer,get,104
my,get,104
just,my,103
who,cervical_cancer,102
risk,cervical_cancer,100
I,like,99
my,HPV_shot,99
HPV_vaccine,does,99
get,HPV_vaccine,98
girl,get,97
more,likely,95
sexually,active,94
HPV,camcer,94
cervical_cancer,not,92
test,cervical_cancer,92
what,I,91
not,cervical_cancer,91
cervical_cancer,awareness,91
HPV,my,90
pap_smear,you,90
when,I,88
like,pap_smear,88
how,you,88
cervical_cancer,treatment,88
go,get,86
I,do,86
when,you,86
women,HPV,85
pap_smear,cervical_cancer,85
HPV,women,85
get,get,84
top,today,84
human_papilloma,virus,84
likely,cervical_cancer,83
cervical_cancer,test,83
not,girl,83
women,who,83
now,I,82
HPV,not,81
HPV_vaccine,sex,81
man,women,81
pap_smear,doctor,81
doctor,my,80
out,cervical_cancer,80
HPV,get,79
cervical_cancer,age,79
die,cervical_cancer,79
camcer,cervical_cancer,79
girl,more,79
free,cervical_cancer,78
women,likely,77
I,hate,77
cervical_cancer,we,77
treatment,cervical_cancer,77
health,cervical_cancer,77
cervical_cancer,help,76
my,last,76
I,now,76
old,cervical_cancer,75
my,now,75
head,cancer,75
neck,cancer,75
I,need,74
girl,against,74
cervical_cancer,please,73
most,common,73
make,study,73
HPV,make,73
rare,cervical_cancer,72
who,get,72
girl,who,72
HPV,man,72
my,mom,72
I,see,72
HPV,vaccination,72
4,4,71
cervical_cancer,cervical_cancer,71
those,who,71
I,pap,71
now,HPV,71
side_effect,HPV_vaccine,71
HPV,cause,71
all,HPV,70
cervical_cancer,health,70
cervical_cancer,she,70
what,cervical_cancer,70
not,sexual,70
cervical_cancer,top,70
cervical_cancer,my,69
women,than,69
just,pap_smear,69
away,cervical_cancer,69
screening,cervical_cancer,69
HPV,vaccine,68
what,HPV,68
who,HPV,68
like,I,68
like,HPV,68
learn,more,68
what,know,68
HPV_vaccine,who,67
vaccine,HPV,67
HPV_vaccine,prevent,67
go,pap_smear,67
likely,get,66
not,HPV,66
risk,HPV,66
need,know,66
HPV,what,66
I,want,66
need,pap_smear,66
just,I,65
pap_smear,test,65
my,what,65
vaccine,against,65
all,girl,65
women,die,65
doctor,doctor,64
I,some,64
not,sex,64
my,today,64
HPV_vaccine,more,64
HPV,more,63
girl,not,63
