source,target,weight
screening,screening,90
out,out,39
study,study,54
pap,pap,78
smear,smear,53
HPV,HPV,1080
get,get,469
Gardasil,Gardasil,161
still,still,13
these,these,11
pap_smear,pap_smear,399
why,why,30
risk,risk,49
I,I,1802
chick,chick,3
pretty,pretty,2
hospital,hospital,4
she,she,294
eye,eye,1
HPV_vaccine,HPV_vaccine,725
say,say,20
ok,ok,16
my,my,581
daughter,daughter,6
some,some,37
vaccine,vaccine,176
4,4,137
shot,shot,26
when,when,27
you,you,1345
safe,safe,12
camcer,camcer,140
know,know,54
they,they,112
doctor,doctor,179
side_effect,side_effect,12
put,put,2
women,women,181
currently,currently,1
link,link,39
no,no,164
anal,anal,19
article,article,4
drug,drug,11
how,how,50
money,money,4
treatment,treatment,50
health,health,78
many,many,30
deaths,deaths,6
what,what,59
HP,HP,9
USB,USB,6
flash,flash,16
drive,drive,10
fun,fun,7
DRE,DRE,67
Gardasil_vaccine,Gardasil_vaccine,13
not,not,168
cancer,cancer,56
more,than,1128
safety,safety,9
find,find,17
more,more,96
room,room,1
genital,genital,95
power,power,3
positive,positive,6
FDA,FDA,28
coverage,coverage,7
press,scare,1
common,common,12
do,do,98
prevent,prevent,27
jab,jab,22
man,man,150
need,need,24
boy,boy,187
FDA_Panel,FDA_Panel,3
cervical_cancer,cervical_cancer,3220
young,young,18
we,we,102
daughter,friend,1
last,last,17
friend,daughter,6
thing,thing,6
I,we,113
stupid,stupid,8
medical,safe,2
great,great,6
read,HPV,100
swine,swine,2
do,Merck,7
flu,flu,10
Friday,Friday,1
today,today,30
do,FDA,6
up,up,28
than,more,51
safe,medical,4
teen,teen,12
about,about,5
do_not,do_not,11
all,all,55
FDA,Merck,15
what,bad,3
there,there,20
nun,nun,1
press,HPV,10
fight,fight,19
mother,cervical_cancer,104
news,news,47
website,you,2
who,who,102
date,date,2
tomorrow,back,2
place,smear,9
tomorrow,see,5
fuck,fuck,39
girl,girl,161
after,after,56
look,cause,4
panel,panel,40
death,death,3
vaccination,vaccination,33
medical,medical,12
up,great,9
top,top,8
you,pray,10
NHS,NHS,1
my,photo,2
Info,Info,3
receive,HPV,34
day,day,21
stuff,stuff,1
suggest,most,2
such,CDC,1
bad,bad,11
safety,report,6
researcher,researcher,1
prevent,final,1
cervix,link,3
new,new,81
visit,tell,2
better,take,4
sad,sad,2
approve,approve,18
health,FDA,6
hope,virus,2
long,long,8
just,they,62
does,does,18
do,after,15
just,we,33
girl,serious,9
who,sex,134
some,women,68
my_arm,my_arm,1
hate,hate,23
I_am,I_am,20
HPV,half,196
sexually_transmit,HPV_vaccine,11
media,get,3
now,now,29
HPV_test,HPV_test,34
health,more,62
ya,ya,11
rates,rates,39
they,just,78
