source,target,weight
job,job,1
word,word,2
smear,smear,3
week,week,10
virus,virus,15
cancer,cancer,49
symptom,symptom,1
care,care,1
STD,STD,3
news,news,11
test,test,30
jab,jab,3
group,group,3
check,check,3
partner,partner,3
sex,sex,9
anal,anal,11
cervical,cervical,5
surprise,surprise,1
oral,oral,10
Friday,Friday,1
year,year,5
month,month,2
story,story,3
wart,wart,3
tell,tell,2
Gardasil,Gardasil,12
doctor,doctor,12
pap,pap,8
boy,boy,8
give,virus,2
genital,genital,1
injection,injection,1
forget,research,1
play,play,2
cancer,year,11
teens,girl,223
type,type,1
please,please,8
educate,you,2
program,high,2
HPV,HPV,94
find,protect,3
health,health,31
heart,heart,2
virus,give,2
dose,dose,6
age,age,26
it,it,39
vaccinate,vaccinate,2
Texas,Planned,1
2010,diagnose,1
vaccine,please,3
cancer,foundation,15
make,free,2
chance,lady,2
prevent,shot,1
awareness,virus,2
head,head,3
UK,UK,3
person,treat,1
shot,shot,1
tomorrow,pap,1
word,start,1
HPV_vaccine,cervical_cancer,122
question,medical,2
early,detection,136
protect,girl,41
appointment,today,5
blog,find,1
make,healthy,3
half,half,2
papillomavirus,risk,1
point,point,2
Merck,woman,7
recommend,boy,7
doctor,man,2
experience,cervical,2
Prevention,annual,2
Couric,cervical,2
day,school,2
include,family,2
test,condom,1
news,today,19
cancer,break,1
HIV,jag,2
push,million,1
treat,catch,1
company,India,1
test,cost,11
fall,team,1
screen,June,4
parent,vaccinate,1
find,place,2
survivor,help,1
warts,part,2
protect,human,4
play,game,2
world,HPV,15
push,human,2
warts,information,1
infection,health,2
woman,sexually,1
article,Michael,1
prevent,affect,1
give,boy,13
have,learn,2
girl,girl,27
smear,lot,1
idea,wait,1
woman,your,5
yes,yes,5
vaccination,write,1
pap_smear,pap_smear,49
report,group,1
HPV,TRUE,1
make,today,6
HPV,enjoy,5
type,man,1
girl,time,7
Prevention,HPV,27
GOP,comment,1
student,cervical,1
show,expert,5
cancer,video,5
friend,health,4
turn,leave,1
Prevention,Prevention,2
kill,cervical,1
vax,help,1
rise,number,2
vaccine,vaccine,63
sex,Gardasil,1
today,national,3
health,wart,1
tomorrow,morning,12
follow,HPV,1
Gardasil,call,4
disease,Prevention,8
infection,infection,10
study,young,12
test,visit,1
eye,increase,1
mammogram,HPV,1
miss,strain,1
woman,awareness,8
test,today,13
follow,article,2
cancer,touch,1
warts,warts,24
sex,give,3
day,day,2
mother,program,1
number,year,1
HPV,fact,11
drug,group,1
mother,report,1
CDC,CDC,2
lady,lady,3
HPV,daughter,2
vaccine,present,1
protect,man,6
active,prevent,1
lady,issue,2
perfect,person,2
woman,check,15
health,campaign,6
link,link,4
lady,real,2
topic,cervical,2
national,program,31
boy,woman,3
girl,full,6
common,STD,5
doctor,detect,1
cancer,shirt,1
tomorrow,join,1
month,offer,2
people,cancer,4
healthy,healthy,3
Parenthood,breast,1
