source,target,weight
partner,partner,2
sex,sex,9
anal,anal,11
cervical,cervical,7
surprise,surprise,5
oral,oral,6
worse,worse,2
Friday,Friday,2
year,year,16
CDC,CDC,3
week,week,16
smoke,smoke,5
story,story,3
wart,wart,2
head,head,3
tell,tell,5
Gardasil,Gardasil,8
doctor,doctor,10
pap,pap,6
boy,boy,9
boyfriend,boyfriend,3
petition,petition,2
genital,genital,7
hey,hey,3
injection,injection,2
tear,tear,2
play,play,2
Nytime,Nytime,2
type,type,2
HPV,HPV,52
jab,jab,6
health,health,7
heart,heart,3
researcher,researcher,3
dose,dose,2
buy,buy,2
age,age,3
RIP,RIP,2
vaccinate,vaccinate,8
hand,hand,3
UK,UK,2
shoot,shoot,10
pull,pull,2
Africa,Africa,2
half,half,3
test,test,19
point,point,3
girl,girl,16
room,room,2
number,number,2
Prevention,Prevention,3
ABC,ABC,2
vaccine,vaccine,18
virus,virus,5
skin,skin,10
Catholic,Catholic,2
infection,infection,3
warts,warts,6
young,young,9
day,day,6
teenager,teenager,10
lady,lady,4
link,link,2
healthy,healthy,3
blog,blog,2
cancer,cancer,49
nurse,nurse,2
eat,eat,4
man,man,26
screen,screen,9
FDA,FDA,5
mom,mom,3
decide,decide,3
share,share,2
order,order,2
I,I,843
immunization,life,1
drive,drive,3
get,get,108
star,star,2
Bill,Bill,4
lead,lead,2
can,can,29
million,million,5
thing,time,2
call,call,6
voice,voice,2
herpes,herpes,5
question,question,3
free,free,5
have,have,139
study,study,3
it,it,197
know,know,22
religious,religious,2
video,video,3
symptom,symptom,5
medical,medical,3
flu,flu,7
ask,ask,2
like,like,36
cold,cold,2
word,word,3
walk,walk,2
help,help,7
Pussy,Pussy,5
lady,HPV,10
clean,clean,4
Guess,Guess,3
female,female,4
need,need,8
infect,infect,22
rate,rate,3
media,media,2
treatment,treatment,4
stay,stay,3
support,support,3
care,care,5
wife,wife,2
data,data,2
she,she,114
breast,breast,3
viral,viral,2
transmit,transmit,4
vaccination,vaccination,14
plan,plan,3
play,tonight,1
show,show,4
HPV,lady,6
blood,blood,4
ago,ago,3
immune,immune,2
system,system,3
stop,lie,1
benefit,benefit,2
papillomavirus,papillomavirus,5
yall,yall,4
child,child,3
Abbott,Abbott,2
mouth,mouth,2
have,tell,9
normal,normal,2
policy,policy,3
talk,talk,6
want,want,6
phone,phone,2
vinegar,vinegar,2
global,effort,1
way,way,2
class,class,2
risk,risk,9
annual,annual,4
India,India,2
sexual,sexual,6
father,work,1
come,come,2
