source,target,weight
pap_smear,pap_smear,14
hear,hear,5
Perry,Perry,3
CCPW,CCPW,2
virus,virus,4
cancer,cancer,11
care,care,4
roll,roll,3
follow,follow,9
male,male,4
mine,mine,3
blog,blog,3
word,word,2
pretty,pretty,4
kid,kid,2
female,partner,2
surprise,surprise,2
wait,wait,3
awesome,night,2
free,free,18
cancer,year,5
cancer,number,1
experience,cervical,1
gay,gay,6
Life,tell,1
back,pap,4
check,pap,2
gift,special,2
thing,thing,3
daughter,daughter,2
study,study,3
work,back,2
wait,Michael,1
class,mother,1
fun,pap,2
YellowUmbOrg,YellowUmbOrg,3
important,lady,6
fun,fun,7
happy,happy,5
have,pay,2
friend,mom,1
face,face,2
book,test,7
love,Christmas,2
real,your,2
Prevention,cure,15
health,health,9
STD,date,1
link,HIV,1
favorite,issue,2
good,day,13
turn,turn,5
cause,doctor,1
excit,excit,2
wonderful,wonderful,3
day,follow,2
learn,anal,2
lead,heart,2
heart,young,1
hour,time,1
vaccine,turn,2
live,show,2
cover,finally,1
important,woman,7
approve,vaccine,1
recommend,boy,24
spread,HPV,10
information,genital,1
enjoy,interesting,1
teens,girl,24
shot,prevent,4
STD,good,2
start,good,1
today,test,2
Prevention,good,2
come,strong,1
health,guy,1
glad,good,3
doctor,find,1
hot,topic,3
mom,friend,1
tweet,topic,1
boy,sexually,1
smear,shirt,2
person,catch,2
great,mom,2
protection,genital,1
benefit,breast,1
forget,offer,2
cancer,people,1
forget,mammogram,1
routine,cervical,1
luck,good,1
treatment,HIV,1
write,commercial,1
year,cancer,3
smear,reminder,1
hope,good,9
spread,disease,1
early,detection,16
wart,common,1
CCPW,follow,1
happy,Gardasil,2
God,good,6
wait,post,2
chance,back,1
cancer,hot,1
watch,watch,7
week,make,5
pap,pap,5
pussy,go,3
change,gay,2
kid,amazing,1
cancer,smear,1
boy,woman,6
receive,care,4
deal,male,2
recommend,give,1
good,study,5
pay,medical,2
cancer,sexual,1
topic,Twitter,2
CDC,boy,52
have,write,2
celebrity,touch,1
